GDC_UUID	CGC_path	sample_type	disease
A104D1E8-3B92-4A3C-9C16-A0DEB4E96302	/Datasets/tcga/TCGA-THCA/061fab24-727a-4551-a205-89eeb9f530ea/analysis/f27179c2-a53c-4a46-8fb7-107650d2c18c/data/UNCID_2192483.c687adc4-afe5-4db9-a488-ff52735ab090.120419_UNC12-SN629_0204_BD0VCGACXX_7_CGATGT.tar.gz	Primary Tumor	Thyroid Carcinoma
EABD7B13-5FAD-4CC1-A6A0-66177ACA1BB0	/Datasets/tcga/TCGA-UCEC/de5abe44-6d9d-4797-a57a-5adfd71383f0/analysis/c246ac0b-1da6-4ef5-8396-647394bab528/data/UNCID_2196703.3ec89fd3-b1fe-495c-99ef-122ab708e633.120216_UNC2-RDR300275_00113_FC_650PDAAXX_1.tar.gz	Primary Tumor	Uterine Corpus Endometrial Carcinoma
9F7E0134-78A7-48E3-9AAE-989219D75D79	/Datasets/tcga/TCGA-LUAD/ccfdad76-cc45-447f-bed8-ede8f6a8844d/analysis/591e88ba-0c56-4e3b-8eb9-23abd9a652e7/data/UNCID_2197499.91449ec2-a03f-4cc8-8738-4819564d9dae.120126_UNC9-SN296_0268_AD0JFTACXX_1_ACAGTG.tar.gz	Primary Tumor	Lung Adenocarcinoma
825AC0F8-4D16-4109-AA6A-4648934E3C35	/Datasets/tcga/TCGA-GBM/e3251837-f6f3-4dad-856f-108e20d03dad/analysis/9b65986f-846f-40ae-87d7-9d3f587f3a24/data/G17493.TCGA-06-2562-01A-01R-1849-01.2.tar.gz	Primary Tumor	Glioblastoma Multiforme
7B356489-4C91-4A58-998C-9697826EF5D2	/Datasets/tcga/TCGA-KIRC/34e8fbd8-ed33-4d11-af4a-dd33af37fe28/analysis/1f13f86e-4d8b-4cd4-a73c-fde966d351ac/data/UNCID_2209400.bf1699d0-1b74-4fbc-88e1-c433dd8e5c0f.110506_UNC9-SN296_0178_BC02MGABXX_4.tar.gz	Primary Tumor	Kidney Renal Clear Cell Carcinoma
9F10BD8C-9789-4046-88D0-9B8082C854D7	/Datasets/tcga/TCGA-LUSC/b913d254-8307-4b8a-8313-d978e32bb38f/analysis/1289fcab-cba3-4c76-a86c-c8469d781b74/data/UNCID_2209890.9a76d668-932a-47cd-a8c0-5840641e1aea.110425_SN851_0033_AB065GABXX_3.tar.gz	Primary Tumor	Lung Squamous Cell Carcinoma
D04B63DE-03BA-4A63-92CA-D8054C3E238C	/Datasets/tcga/TCGA-HNSC/42d342d9-f8a5-4940-9b6b-5773d66055f9/analysis/2cb6d5ac-c2ec-4c9b-83e3-772213826550/data/UNCID_2265287.f344e3f0-49a3-49de-8da3-51c21f9a5506.130807_UNC12-SN629_0324_AC2B36ACXX_8_TTAGGC.tar.gz	Primary Tumor	Head and Neck Squamous Cell Carcinoma
2C26486A-A737-4B2F-9D98-28A700081CDA	/Datasets/tcga/TCGA-BLCA/a73c0842-39c5-4c2c-aa6a-f31341a4f36e/analysis/8b1b96f0-8fcb-47a0-b37c-3f4faf781fa9/data/UNCID_2198659.7206d218-0e58-4722-8566-cbcbd8b8b4e0.120110_UNC13-SN749_0142_BD0HK1ACXX_8_GCCAAT.tar.gz	Primary Tumor	Bladder Urothelial Carcinoma
3B7F80E6-74A7-4DA1-AC4B-C260B6BE880A	/Datasets/tcga/TCGA-GBM/66f3c936-272e-4a1e-8567-f609af411329/analysis/4d813e71-8db2-4cad-b9b7-206592e2bdf3/data/G17228.TCGA-06-0649-01B-01R-1849-01.2.tar.gz	Primary Tumor	Glioblastoma Multiforme
EDCF8E7F-8B1D-46F7-8AE0-84A1DC9647D2	/Datasets/tcga/TCGA-MESO/2b740646-7cd4-4c7f-890a-7b3db6ebc1b8/analysis/b4cc8efe-2ba0-4a1e-aa38-c63280bfdc4e/data/UNCID_2640099.68f8a449-b41e-471d-b82c-bc5f309f6b8e.140715_UNC11-SN627_0367_BC4KEPACXX_3_TTAGGC.tar.gz	Primary Tumor	Mesothelioma
