SRR537056	GSM984379
SRR773861	GSM1098575
SRR771554	GSM1095134
SRR522097	GSM967524
SRR846957	GSM1133682
SRR764659	GSM1087025
SRR1036049	GSM1273624
SRR934280	GSM1185611
SRR897639	GSM1157773
SRR567139	GSM1000986
SRR915778	GSM1171563
SRR831006	GSM1126653
SRR1027189	GSM1261034
SRR1294798	GSM1395705
SRR896798	GSM1156932
SRR035580	GSM480871
SRR094132	GSM651908
SRR537053	GSM984376
SRR772401	GSM1098229
SRR797056	GSM1105745
SRR1004311	GSM1241377
SRR1173998	GSM1331667
SRR490325	GSM920990
SRR1303626	GSM1400983
SRR1039516	GSM1275870
SRR827483	GSM1122678
SRR868862	GSM1150608
SRR191502	GSM715612
SRR944320	GSM1197362
SRR1186611	GSM1342901
SRR1038629	GSM1275183
SRR398213	GSM859996
SRR191715	GSM715495
SRR032126	GSM432608
SRR1294557	GSM1395464
SRR932143	GSM1185136
SRR537103	GSM984206
SRR868877	GSM1150623
SRR567076	GSM1000984
SRR031849	GSM485402
SRR954998	GSM1213445
SRR710090	GSM1081537
SRR1146211	GSM1315749
SRR627542	GSM1041197
SRR1197151	GSM1348956
SRR1044599	GSM1281891
SRR040030	GSM532915
SRR066475	GSM597211
SRR191622	GSM715732
SRR747665	GSM1084150
SRR1294767	GSM1395674
SRR529090	GSM976987
SRR1294622	GSM1395529
SRR040036	GSM532921
SRR1425825	GSM1416445
SRR772459	GSM1098259
SRR772647	GSM1098362
SRR827485	GSM1122678
SRR521499	GSM958736
SRR791050	GSM1103994
SRR1294597	GSM1395504
SRR1216082	GSM1362060
SRR567437	GSM999531
SRR1026968	GSM1260551
SRR537106	GSM984209
SRR1026886	GSM1260489
SRR827469	GSM1122675
SRR1003808	GSM1241190
SRR1026900	GSM1260499
SRR029132	GSM416761
SRR372620	GSM838072
SRR748518	GSM1084145
SRR398207	GSM859990
SRR351339	GSM811629
SRR307914	GSM758567
SRR1144284	GSM1314288
SRR1294943	GSM1395850
SRR868878	GSM1150624
SRR066466	GSM597210
SRR1264130	GSM1375522
SRR1182343	GSM1338765
SRR945230	GSM1198479
SRR1146187	GSM1315725
SRR1294536	GSM1395443
SRR490374	GSM921002
SRR896673	GSM1156807
SRR1521420	GSM1440480
SRR491339	GSM923253
SRR616072	GSM1033543
SRR447144	GSM898973
SRR1026964	GSM1260549
SRR934224	GSM1185604
SRR1237977	GSM1369001
SRR040010	GSM532895
SRR897461	GSM1157595
SRR741895	GSM1084051
SRR306852	GSM752703
SRR976225	GSM1229103
SRR896841	GSM1156975
SRR567079	GSM1000984
SRR903330	GSM1166129
SRR611843	GSM1033471
SRR897705	GSM1157839
SRR1015684	GSM1249123
SRR1377216	GSM1409707
SRR1107930	GSM1306658
SRR901496	GSM1163975
SRR527601	GSM973670
SRR869309	GSM1151055
SRR1028346	GSM1261905
SRR077869	GSM636921
SRR616079	GSM1033550
SRR770720	GSM1097793
SRR037212	GSM517441
SRR898008	GSM1158142
SRR1425784	GSM1416404
SRR1295295	GSM1396202
SRR1033162	GSM1269212
SRR1036067	GSM1273628
SRR897631	GSM1157765
SRR1047852	GSM1288376
SRR1145039	GSM1314599
SRR522144	GSM967571
SRR1043104	GSM1279923
SRR1012947	GSM1244820
SRR1026912	GSM1260506
SRR648668	GSM1063576
SRR491304	GSM922956
SRR1295145	GSM1396052
SRR073728	GSM618468
SRR490302	GSM920984
SRR399302	GSM862345
SRR029130	GSM416759
SRR479059	GSM913880
SRR897873	GSM1158007
SRR191569	GSM715679
SRR1294614	GSM1395521
SRR805834	GSM1113421
SRR1146244	GSM1315780
SRR572625	GSM1005575
SRR488570	GSM916962
SRR831015	GSM1126662
SRR364268	GSM832467
SRR1237984	GSM1369008
SRR521494	GSM958735
SRR1237981	GSM1369005
SRR066474	GSM597211
SRR191684	GSM715463
SRR1146139	GSM1315677
SRR1374811	GSM1409651
SRR567002	GSM1000981
SRR307900	GSM758560
SRR633608	GSM1053800
SRR633566	GSM1053758
SRR945217	GSM1198472
SRR1264297	GSM1375530
SRR1182254	GSM1338318
SRR903322	GSM1166127
SRR541416	GSM986136
SRR897517	GSM1157651
SRR490232	GSM920967
SRR1025504	GSM1260145
SRR897266	GSM1157400
SRR1036029	GSM1273620
SRR1216005	GSM1361983
