212	ERP001942	ERS185417	ERX163091	ERR188250
213	SRP028530	SRS467294	SRX332340	SRR948795
214	SRP044668	SRS663194	SRX658034	SRR1521407
215	SRP010181	SRS285226	SRX114861	SRR397206
216	SRP015138	SRS359575	SRX180937	SRR547605
217	SRP025982	SRS442768	SRX303438	SRR897971
218	SRP033725	SRS513907	SRX390436	SRR1047818
219	ERP006077	ERS480291	ERX497804	ERR532601
220	SRP012557	SRS311315	SRX144803	SRR492052
221	SRP014830	SRS356023	SRX176418	SRR542380
222	SRP000599	SRS002150	SRX002645	SRR013574
223	SRP012461	SRS310788	SRX144157	SRR490581
224	SRP008552	SRS265777	SRX099375	SRR350242
225	SRP021509	SRS416377	SRX271836	SRR834979
226	SRP010181	SRS285199	SRX114834	SRR397299
227	SRP019270	SRS401179	SRX249081	SRR772337
228	SRP006474	SRS189324	SRX058612	SRR189777
229	SRP012461	SRS310789	SRX144158	SRR490586
230	SRP026620	SRS455694	SRX318839	SRR927174
231	SRP015668	SRS361736	SRX185242	SRR563547
232	SRP028325	SRS465170	SRX329060	SRR944654
233	SRP008743	SRS268623	SRX102961	SRR357437
234	ERP003917	ERS349406	ERX315745	ERR342807
235	SRP000941	SRS300640	SRX190122	SRR651681
236	DRP001797	DRS016618	DRX021446	DRR023633
237	SRP015640	SRS416411	SRX271885	SRR835011
238	SRP033135	SRS504073	SRX379614	SRR1032924
239	ERP001942	ERS185180	ERX163003	ERR188176
240	SRP035268	SRS528032	SRX424357	SRR1105571
241	ERP002232	ERS214123	ERX204347	ERR229797
242	SRP025982	SRS443022	SRX303692	SRR898225
243	SRP041736	SRS603201	SRX534484	SRR1274207
244	SRP035312	SRS528508	SRX424838	SRR1106096
245	SRP041471	SRS598107	SRX528202	SRR1264350
246	SRP018723	SRS396612	SRX242695	SRR747670
247	SRP010181	SRS285238	SRX114873	SRR397398
248	SRP028912	SRS471482	SRX336851	SRR954233
249	SRP019272	SRS401309	SRX249220	SRR772575
250	SRP040421	SRS579471	SRX497477	SRR1200712
