1825	DRP002586	DRS019265	DRX022706	DRR025045
1835	DRP002435	DRS016933	DRX019714	DRR028351
1853	DRP002435	DRS016933	DRX019711	DRR028193
1859	DRP002435	DRS016933	DRX019714	DRR028394
1866	DRP002623	DRS019477	DRX021346	DRR023292
1992	DRP002435	DRS016933	DRX019715	DRR028479
2010	SRP059950	SRS973954	SRX1075708	SRR2081130
2290	DRP002435	DRS016933	DRX019715	DRR028455
2293	DRP002586	DRS019265	DRX022683	DRR025022
2318	DRP002586	DRS019265	DRX022587	DRR024926
2321	DRP001797	DRS016622	DRX021451	DRR023668
2322	SRP051472	SRS801174	SRX821428	SRR1732047
2327	DRP002435	DRS016933	DRX019711	DRR028133
2328	DRP002586	DRS019265	DRX022635	DRR024974
2346	DRP002435	DRS016933	DRX019714	DRR028386
2351	DRP002435	DRS016933	DRX019713	DRR028523
2362	DRP002435	DRS016933	DRX019714	DRR028338
2368	DRP002435	DRS016933	DRX019713	DRR028552
2396	DRP002435	DRS016933	DRX019714	DRR028328
2442	DRP002435	DRS016933	DRX019715	DRR028502
2659	SRP061207	SRS993093	SRX1098160	SRR2103637
2687	SRP061033	SRS989936	SRX1094527	SRR2099837
2800	DRP002586	DRS019265	DRX022567	DRR024906
2810	DRP001797	DRS016623	DRX021456	DRR023685
2848	DRP002435	DRS016933	DRX019711	DRR028170
2853	DRP002435	DRS016933	DRX019714	DRR028348
3302	DRP002435	DRS016933	DRX019713	DRR028590
3307	DRP002586	DRS019265	DRX022575	DRR024914
3321	DRP001797	DRS016621	DRX021450	DRR023664
3325	DRP001797	DRS016618	DRX021446	DRR023619
3327	SRP051472	SRS801152	SRX821406	SRR1732025
3329	SRP051472	SRS801205	SRX821459	SRR1732078
3340	DRP002435	DRS016933	DRX019715	DRR028468
3362	DRP002435	DRS016933	DRX019714	DRR028373
3368	DRP002435	DRS016933	DRX019714	DRR028399
3379	DRP002435	DRS016933	DRX019715	DRR028498
3504	DRP002435	DRS016933	DRX019715	DRR028433
3576	SRP051249	SRS795866	SRX815520	SRR1721308
3612	DRP002860	DRS022651	DRX026178	DRR029112
3726	DRP002586	DRS019265	DRX022493	DRR024832
3744	DRP002586	DRS019265	DRX022681	DRR025020
3753	DRP002586	DRS019265	DRX022497	DRR024836
3838	SRP051472	SRS801156	SRX821410	SRR1732029
3867	DRP002435	DRS016933	DRX019711	DRR028212
3871	DRP002586	DRS019265	DRX022550	DRR024889
3874	DRP002586	DRS019265	DRX022687	DRR025026
3875	DRP002435	DRS016933	DRX019714	DRR028339
3884	DRP002435	DRS016933	DRX019714	DRR028362
3948	DRP002435	DRS016933	DRX019713	DRR028553
3978	DRP002435	DRS016933	DRX019711	DRR028163
4043	SRP059925	SRS973138	SRX1074658	SRR2079883
4071	SRP060348	SRS979012	SRX1081202	SRR2087207
4315	DRP002586	DRS019265	DRX022612	DRR024951
4323	SRP051472	SRS801181	SRX821435	SRR1732054
4333	DRP002435	DRS016933	DRX019711	DRR028142
4336	DRP002586	DRS019265	DRX022666	DRR025005
4352	DRP002435	DRS016933	DRX019713	DRR028517
4373	DRP002435	DRS016933	DRX019714	DRR028364
4418	DRP002851	DRS022479	DRX042185	DRR046897
4465	DRP002435	DRS016933	DRX019712	DRR028253
4779	SRP060637	SRS987015	SRX1091351	SRR2096232
4825	SRP051472	SRS801207	SRX821461	SRR1732080
4826	DRP001797	DRS016623	DRX021456	DRR023690
4827	DRP001797	DRS016621	DRX021450	DRR023657
4829	DRP001797	DRS016618	DRX021446	DRR023630
4849	DRP002586	DRS019265	DRX022703	DRR025042
4855	DRP002586	DRS019265	DRX022585	DRR024924
