1672	SRP042620	SRS624299	SRX559756	SRR1313105	238429	21152	20469.5822446	0.088714
21426	SRP040472	SRS580287	SRX498518	SRR1201686	139422	12346	20474.0416936	0.0885513
4403	SRP029990	SRS481303	SRX352336	SRR988504	139521	12249	20480.5428287	0.0877932
20500	SRP040472	SRS580287	SRX498520	SRR1201688	138757	12170	20472.8043054	0.0877073
3940	SRP033725	SRS513916	SRX390445	SRR1047863	493820	43030	20496.6143453	0.087137
9542	SRP040472	SRS580287	SRX498519	SRR1201687	138458	12048	20474.3109174	0.0870156
14441	SRP007461	SRS353537	SRX174312	SRR534289	374792	32360	20489.4270796	0.0863412
4474	SRP015964	SRS366557	SRX190849	SRR578756	191625	16374	20492.7840626	0.0854481
18758	SRP036790	SRS553911	SRX466132	SRR1163132	190520	16259	20507.6405207	0.0853401
15017	SRP040070	SRS572370	SRX488855	SRR1191783	565993	47204	20491.3119544	0.0834003
16414	SRP007461	SRS358733	SRX179445	SRR545721	250872	20867	20488.31766	0.0831779
11542	SRP040622	SRS582894	SRX501849	SRR1206040	230992	19204	20496.218605	0.0831371
2668	SRP007461	SRS358731	SRX179443	SRR545718	318308	26411	20486.8823058	0.0829731
9322	SRP007461	SRS358729	SRX179441	SRR545714	248726	20610	20487.1809702	0.0828623
2525	SRP026600	SRS455410	SRX318458	SRR926688	476053	39343	20485.2101888	0.0826442
3325	SRP007461	SRS358733	SRX179445	SRR545722	327153	26972	20488.5374366	0.0824446
21063	SRP026600	SRS455411	SRX318462	SRR926692	493175	40487	20483.67018	0.0820946
18379	SRP042620	SRS624292	SRX559748	SRR1313097	239996	19693	20471.9241154	0.0820555
5516	SRP014670	SRS352778	SRX172971	SRR531461	103579	8481	20520.4550343	0.0818795
8847	SRP007461	SRS358726	SRX179438	SRR545708	259458	21225	20485.0814968	0.0818051
5542	ERP001344	ERS092565	ERX286288	ERR313140	106317	8652	20502.1580274	0.0813793
15098	SRP007461	SRS242518	SRX085307	SRR317068	218546	17704	20492.4380863	0.0810081
4611	SRP007461	SRS358732	SRX179444	SRR545720	322134	26002	20491.0248654	0.080718
16406	DRP001150	DRS012093	DRX012359	DRR013807	263686	21068	20495.8149579	0.0798981
21350	SRP033725	SRS513920	SRX390449	SRR1047867	386481	30459	20490.1154028	0.0788111
19471	ERP006077	ERS480310	ERX497792	ERR532589	628486	49170	20487.3919101	0.0782356
807	SRP007461	SRS358721	SRX179433	SRR545694	322624	24963	20489.4232667	0.0773749
17911	ERP001344	ERS092692	ERX286316	ERR313168	308709	23741	20518.7186833	0.0769041
19142	SRP007461	SRS353552	SRX174327	SRR534326	330910	25407	20490.8672358	0.0767792
13395	SRP040472	SRS581574	SRX500270	SRR1203845	266278	20426	20485.3536567	0.0767093
7011	SRP007461	SRS358725	SRX179437	SRR545705	297390	22713	20488.0665725	0.0763745
17113	SRP033647	SRS513468	SRX389726	SRR1046814	313443	23922	20500.7033942	0.0763201
