min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1470	102606	99380	102290	101404	168	3877	98384
1469	102740	99508	102423	101537	168	3882	98512
1468	102855	99620	102538	101650	169	3885	98623
1467	102976	99736	102657	101769	170	3889	98738
1466	103082	99838	102763	101875	170	3893	98840
1465	103202	99954	102883	101994	171	3896	98956
1464	103330	100076	103010	102120	171	3905	99075
1463	103464	100206	103143	102250	171	3911	99202
1462	103593	100331	103271	102377	171	3915	99326
1461	103722	100453	103398	102504	172	3921	99447
1460	103851	100580	103527	102633	172	3923	99574
1459	103967	100694	103643	102748	172	3926	99687
1458	104093	100815	103769	102874	172	3931	99808
1457	104220	100941	103896	102997	172	3936	99930
1456	104324	101042	104000	103101	172	3939	100031
1455	104455	101171	104130	103230	172	3941	100159
1454	104588	101297	104262	103361	173	3946	100285
1453	104694	101397	104368	103465	174	3952	100384
1452	104801	101497	104474	103571	174	3958	100484
1451	104889	101583	104562	103659	174	3960	100570
1450	104993	101687	104666	103762	174	3961	100673
1449	105092	101783	104765	103860	174	3965	100768
1448	105218	101906	104890	103981	176	3970	100887
1447	105340	102023	105010	104099	176	3975	101002
1446	105452	102127	105121	104207	177	3986	101102
1445	105556	102227	105225	104310	177	3991	101201
1444	105669	102337	105337	104423	177	3995	101310
1443	105787	102451	105455	104540	177	4000	101423
1442	105913	102570	105581	104663	177	4010	101539
1441	106035	102688	105700	104782	177	4014	101655
1440	106163	102804	105828	104908	178	4026	101770
1439	106270	102907	105934	105013	178	4030	101872
1438	106388	103017	106049	105127	179	4037	101980
1437	106488	103117	106149	105226	179	4038	102079
1436	106608	103233	106268	105343	179	4043	102193
1435	106714	103331	106372	105446	180	4048	102291
1434	106836	103448	106493	105567	180	4052	102408
1433	106948	103555	106605	105679	180	4057	102515
1432	107090	103694	106747	105821	180	4060	102654
1431	107185	103787	106841	105915	181	4062	102746
1430	107297	103895	106953	106026	181	4067	102853
1429	107417	104012	107073	106145	181	4071	102969
1428	107517	104108	107172	106245	181	4076	103064
1427	107629	104214	107284	106354	182	4083	103168
1426	107734	104317	107389	106458	182	4086	103270
1425	107842	104419	107497	106565	182	4093	103371
1424	107956	104528	107610	106675	183	4101	103476
1423	108069	104638	107723	106788	183	4104	103586
1422	108175	104740	107829	106894	183	4108	103688
1421	108292	104855	107946	107011	183	4110	103803
1420	108409	104969	108062	107124	184	4116	103913
1419	108520	105079	108173	107232	184	4120	104020
1418	108640	105194	108293	107351	184	4126	104134
1417	108753	105301	108406	107462	185	4132	104240
1416	108866	105406	108518	107572	185	4141	104343
1415	108972	105509	108624	107675	187	4143	104445
1414	109088	105621	108740	107791	187	4147	104557
1413	109202	105731	108854	107905	187	4151	104667
1412	109322	105848	108974	108023	187	4156	104782
1411	109431	105949	109081	108129	188	4164	104881
1410	109540	106056	109190	108237	189	4165	104988
1409	109643	106155	109293	108340	189	4169	105087
1408	109747	106252	109397	108442	190	4176	105183
1407	109846	106349	109494	108538	191	4178	105278
1406	109963	106463	109608	108651	193	4181	105389
1405	110073	106568	109718	108761	193	4186	105494
