PC1 PC2 PC3 PC4 PC5 brain lcl blood seqc_abrf geuvadis mixture
SRR1201725 0.00645964839777183 -0.000348645853145379 -0.0129333114026837 0.0125015101873926 0.00520086977112037 0 0 0 0 0 NA
SRR567011 -0.000347778121599917 -0.00520837395957271 -0.00814090151914141 -0.00336182340586994 -0.0101486733948791 0 0 0 0 0 NA
SRR567010 0.000520881901326379 -0.00475439906413548 -0.00891902700879195 -0.00328161334504378 -0.00930896804098807 0 0 0 0 0 NA
SRR539249 0.00141457194360336 -0.00165395971696584 -0.010990915297091 0.00444946213667348 -0.00920384652090985 0 0 0 0 0 NA
SRR567012 0.000287941001007079 -0.00529623849677474 -0.00805655866451897 -0.00430436831944171 -0.0102729077647975 0 0 0 0 0 NA
SRR567015 -0.000434878527208355 -0.00394191471730238 -0.00696036675261194 -0.00300891209628036 -0.00898258515833971 0 0 0 0 0 NA
SRR567014 -0.000856850696254003 -0.0043850833979056 -0.0069096434286609 -0.00317817826207252 -0.00895652259182137 0 0 0 0 0 NA
SRR567017 -0.000345544305383384 -0.00387289339654222 -0.00782920828699184 -0.00295435851509013 -0.00877276132052606 0 0 0 0 0 NA
SRR567016 -0.000918307003033291 -0.00412932739067226 -0.00692957689616984 -0.00233926381147295 -0.00904674047919219 0 0 0 0 0 NA
SRR567019 -0.000707499320240073 -0.0040076063429099 -0.0070111132011355 -0.00288266055967543 -0.00899488693572173 0 0 0 0 0 NA
SRR567018 -0.000531964530438661 -0.00476279798934741 -0.0070027060369376 -0.00304412895412948 -0.00841020458872354 0 0 0 0 0 NA
SRR539241 0.00142058239094782 -0.00172586634026531 -0.0107199423368051 0.00315228696363408 -0.00843933321949869 0 0 0 0 0 NA
SRR539240 0.00162977049450005 -0.00126853218625465 -0.010029935186116 0.0035637232181749 -0.00773371753424252 0 0 0 0 0 NA
SRR539247 0.00173181616558086 -0.00148086688116569 -0.0112047157947264 0.00400652544451208 -0.00937833308406609 0 0 0 0 0 NA
SRR539246 0.00159866623816324 -0.0015335613674174 -0.0107208092846457 0.00430321745198855 -0.0102019001864444 0 0 0 0 0 NA
SRR539245 0.001515161862592 -0.00163259552614538 -0.0105755071353744 0.00404361505949184 -0.00945622782229278 0 0 0 0 0 NA
SRR539244 0.00161286132040192 -0.0012561652693194 -0.0107261186535866 0.00372939435478897 -0.00928366100273225 0 0 0 0 0 NA
SRR1039517 0.0025845231732207 0.000603059573155652 -0.0071740339103947 -0.000871837192024546 -0.00537654332056153 0 0 0 0 0 NA
ERR315381 0.0106771220276512 -0.00546315274251789 0.00730068842349951 -0.01323659368028 0.0177059859725848 0 0 0 0 0 NA
SRR1205806 0.00244111816075068 0.00472074186673652 -0.00433079960873357 -5.34698523089983e-05 0.0140330243606053 1 0 0 0 0 NA
SRR1205805 -0.00427107443131998 0.00362295501965821 0.00176145816363184 0.000140553605721651 0.0151467139534672 1 0 0 0 0 NA
SRR1205804 0.00761255380334188 -0.00362859173982912 -0.00260418367849614 0.000804521023339075 0.00637471086293743 0 0 1 0 0 NA
SRR1205803 0.00760069689776173 0.00273613368296528 -0.011592902964162 0.00407063439284156 0.0029950885670221 1 0 0 0 0 NA
SRR1205802 0.00434005984090386 -0.00146242253412685 -0.0023376915888623 0.000635707041359719 0.00910398469442555 0 0 1 0 0 NA
SRR1205801 0.00146519106245503 0.00360519747477334 -0.00576986910607198 0.000759656450995698 0.0125383126665238 1 0 0 0 0 NA
ERR313167 -0.0023005011843129 0.00061205445953054 0.000683537867875994 0.000206991017097884 0.00258902594089781 0 0 0 0 0 NA
SRR832889 0.00387634881579714 -0.00554889368576865 -7.57527189420887e-05 -0.0131302121812434 0.00537213164732367 0 0 0 0 0 NA
SRR490299 -0.00704371832060972 -4.61632387842731e-05 0.000472970183226626 0.000919852929821761 -0.000879477720614673 0 0 0 0 0 NA
ERR204880 0.00801836015601288 -0.0148101343848604 -0.00302203538621927 -0.0214106760310234 0.00178670469529963 0 1 0 0 1 NA
SRR964946 -0.00753763651612448 0.000764459660248712 0.00238398019917044 0.00177773942994469 0.000763878606692417 0 0 0 0 0 NA
SRR948837 -0.00127407316485238 -0.00135943837599279 -0.00716400531317014 0.00143702260770184 -0.00657447604837502 0 0 0 0 0 NA
SRR1002983 -0.00753412466124139 0.000769342017657007 0.00241388923741654 0.00172759160153797 0.000712277264130218 0 0 0 0 0 NA
SRR029132 -0.00754904606789323 0.00077583924417672 0.00244621034597134 0.00175414966966668 0.000722566576580685 0 0 0 0 0 NA
SRR029131 -0.00754449724421659 0.000815929285318711 0.00250481234666212 0.0016410912645947 0.00128630119260966 0 0 0 0 0 NA
SRR029130 -0.00754348965411415 0.00077336199463808 0.00243397809165098 0.00174386814412515 0.000716114108279578 0 0 0 0 0 NA
SRR1294707 -0.00730842046266331 0.000181891237899271 0.00225820000014488 0.00122493752717337 0.000534307873312306 1 0 0 0 0 NA
SRR1274090 -0.00753328692667728 0.000767328315128133 0.00240984886416238 0.00173224338775966 0.000692007251488881 0 0 0 0 0 NA
SRR948831 -0.00443933536818238 -0.00108216337231063 -0.00301112642099491 0.000243935308331049 -0.00319965729379052 0 0 0 0 0 NA
SRR898292 0.0138388600587669 0.00689523469566052 -0.00722282196901812 0.00938444748818726 0.0149415516217976 0 0 0 1 0 0:1
SRR898293 0.0137264171376799 0.00652988487055015 -0.0069328586832087 0.00935132293172557 0.0145985193173379 0 0 0 1 0 0:1
SRR898290 0.0138708448437163 0.00683961647873188 -0.00633035257069934 0.00893349736053849 0.0141472314111555 0 0 0 1 0 0:1
SRR898291 0.0139545025272646 0.00698965116841552 -0.00667049817862882 0.00923783292743369 0.0153415141219632 0 0 0 1 0 0:1
SRR898296 0.0137892067854079 0.00681267484926607 -0.00674625284021407 0.00896167016885262 0.0143907137204604 0 0 0 1 0 0:1
SRR898297 0.0137282173254649 0.00691811269152855 -0.00724935671732998 0.00882558736952596 0.0136684568929219 0 0 0 1 0 0:1
SRR898294 0.0139608405555164 0.00667834995215833 -0.00676433702156008 0.00921281056107666 0.0141701905111498 0 0 0 1 0 0:1
SRR898295 0.0137033620389008 0.00684377349072535 -0.00690892127861628 0.00880751893946709 0.014051835651356 0 0 0 1 0 0:1
SRR898298 0.0138923798341772 0.00701623014751648 -0.0068755301691723 0.00904065257136836 0.0144791097066097 0 0 0 1 0 0:1
SRR898299 0.0140059185974601 0.00665972112114656 -0.00624097213650301 0.0087192105403212 0.0141938287727324 0 0 0 1 0 0:1
SRR776594 -0.00204434868886485 -0.000584557381773511 -0.00337599428161108 0.00133871282543318 -0.00353246076621516 0 0 0 0 0 NA
