sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
13177	SRP014675	SRS352973	SRX173096	SRR531695	24	0	4	0	1596	0
13178	SRP025982	SRS443082	SRX303752	SRR898285	180966	151275	94380	93447	3039005	2982187
13179	SRP011903	SRS302268	SRX130906	SRR447181	154142	133822	80111	79556	2127778	2095196
13180	SRP025982	SRS588864	SRX510347	SRR1216117	522	500	0	0	580	558
13181	SRP010181	SRS285242	SRX114877	SRR397222	15375	14709	417	396	27209	22663
13182	SRP012557	SRS311301	SRX144789	SRR492023	83205	76018	20972	20857	432088	422148
13183	SRP041736	SRS603273	SRX534556	SRR1274350	35792	31739	14357	13959	246156	237279
13184	SRP000996	SRS406767	SRX259078	SRR1067490	182395	151733	106810	105370	4129340	4015200
13185	SRP015764	SRS363222	SRX187132	SRR570440	27534	26221	2547	2521	64336	62550
13186	SRP017262	SRS376471	SRX206921	SRR621699	21098	19573	1442	1422	43617	41721
13187	ERP001942	ERS185155	ERX162828	ERR188071	179963	137216	95266	93233	5498289	5385163
13188	DRP001797	DRS014273	DRX021427	DRR023393	127195	114691	64517	64071	1744198	1721818
13189	SRP041255	SRS593890	SRX520316	SRR1248256	173827	126732	90191	87781	4305680	4210933
13190	SRP015439	SRS371835	SRX200055	SRR605543	168753	138332	95571	93955	6011282	5942831
13191	SRP025982	SRS442804	SRX303474	SRR898007	198994	165072	105146	104027	3170745	3110370
13192	SRP027383	SRS457808	SRX322730	SRR934845	235052	175721	129554	126190	9691828	9550364
13193	SRP030617	SRS488140	SRX360963	SRR1003774	31644	29116	14575	14170	270815	263281
13194	SRP041825	SRS604694	SRX539586	SRR1282136	180919	140636	93846	92606	3789690	3719535
13195	SRP028336	SRS465458	SRX329393	SRR945236	122641	111758	35388	35221	653869	639060
13196	SRP031858	SRS493229	SRX367106	SRR1015694	62892	58374	14559	14429	290864	283459
13197	SRP032775	SRS562522	SRX476808	SRR1177697	169748	118613	75082	72476	2684998	2579252
13198	SRP000941	SRS306621	SRX190140	SRR651703	321199	178165	149619	132057	27991881	27422133
13199	ERP003933	ERS351008	ERX371737	ERR405376	177123	139211	95926	94439	3668514	3601549
13200	SRP025982	SRS441540	SRX302210	SRR896743	167592	144496	80820	80041	2010687	1969870
13201	SRP007461	SRS353549	SRX174324	SRR534318	276585	161445	183004	144294	43918461	43123380
