sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
48428	SRP003902	SRS118243	SRX029302	SRR070237	19	0	1	0	35	0
48429	SRP016626	SRS372414	SRX200678	SRR606247	37	0	5	0	155	0
48430	SRP059035	SRS951978	SRX1047473	SRR2049393	96471	86686	38208	38041	1169287	1153944
48431	SRP050335	SRS754094	SRX769943	SRR1665022	29477	26956	3059	3030	75705	72285
48432	SRP066834	SRS1184712	SRX1456682	SRR2967236	27039	25194	17326	16770	336468	327525
48433	SRP059172	SRS954315	SRX1050232	SRR2052806	94361	88505	29588	29442	671684	661824
48434	SRP057196	SRS910297	SRX996204	SRR1974886	8112	7110	5268	5038	227802	219673
48435	DRP002435	DRS016933	DRX019713	DRR028599	18849	17620	13003	12719	510056	503074
48436	SRP057196	SRS910288	SRX996214	SRR1974896	7045	6178	4831	4640	303581	294370
48437	SRP033135	SRS504202	SRX379740	SRR1033050	25525	23776	16758	16320	500305	492520
48438	SRP029953	SRS486988	SRX359332	SRR1005686	452	71	24	0	1451	82
48439	SRP018815	SRS397572	SRX244314	SRR750883	101759	97163	33053	32967	656602	649948
48440	DRP002435	DRS016933	DRX019712	DRR028231	37941	36116	25020	24595	791274	782470
48441	SRP057196	SRS910530	SRX995974	SRR1974656	9959	7587	4282	3982	79334	72702
48442	SRP063840	SRS1072349	SRX1253702	SRR2431377	29104	22053	9926	9184	208765	193163
48443	SRP006575	SRS190707	SRX059642	SRR191650	5978	4566	598	568	33550	31137
48444	SRP045052	SRS669972	SRX665106	SRR1531317	41936	37020	7026	6983	146013	140006
48445	SRP066834	SRS1184161	SRX1457256	SRR2967810	10590	9698	6791	6538	235457	228351
48446	SRP061240	SRS993928	SRX1099484	SRR2105484	20	2	3	0	431	2
48447	SRP057196	SRS910594	SRX995906	SRR1974588	10320	8429	3971	3587	68868	62387
48448	SRP028336	SRS465450	SRX329385	SRR945220	97910	92862	22157	22117	422583	416625
48449	ERP001908	ERS183259	ERX159467	ERR184045	0	0	0	0	0	0
48450	DRP002435	DRS016933	DRX019715	DRR028465	0	0	0	0	0	0
48451	SRP006575	SRS190750	SRX059685	SRR191703	1607	885	172	166	7057	6217
48452	SRP059039	SRS952095	SRX1047860	SRR2049779	77426	72727	22014	21888	545926	538428
48453	SRP059039	SRS952214	SRX1047743	SRR2049662	76526	71698	22008	21900	492550	484943
48454	SRP064464	SRS1098918	SRX1304146	SRR2558114	28181	27413	12863	12704	236215	233797
48455	SRP057745	SRS924196	SRX1012403	SRR2000470	85158	80915	17695	17661	314512	309507
48456	SRP041471	SRS598102	SRX528197	SRR1264220	21678	21008	627	617	33492	32684
48457	SRP049593	SRS738569	SRX753118	SRR1643367	88905	85585	18401	18369	329931	325720
48458	SRP041736	SRS603396	SRX534679	SRR1275219	18714	14727	5302	5204	90172	84385
48459	SRP006575	SRS190727	SRX059662	SRR191672	418	123	18	15	789	431
48460	SRP050223	SRS751948	SRX767302	SRR1661787	75537	72450	8616	8591	195618	191912
48461	SRP050223	SRS751947	SRX767301	SRR1661756	68759	66405	7640	7611	171780	168924
48462	SRP050223	SRS751955	SRX767309	SRR1662012	64096	60505	5335	5308	140979	136905
48463	SRP050223	SRS751951	SRX767305	SRR1661870	36039	33962	1381	1362	64295	61864
48464	SRP050223	SRS751956	SRX767310	SRR1662051	71561	68012	8972	8936	191267	186935
48465	SRP039077	SRS563738	SRX478137	SRR1179118	83569	78400	22764	22590	735320	726396
48466	SRP039077	SRS563736	SRX478135	SRR1179101	103580	98983	33093	33018	669463	663321
48467	SRP067502	SRS1211123	SRX1488934	SRR3028209	41512	39054	18310	17990	325432	319129
48468	SRP028301	SRS464888	SRX328748	SRR944329	50791	48124	13500	13455	350429	346557
48469	SRP031476	SRS491592	SRX365212	SRR1012937	94889	90136	27004	26953	515515	509359
48470	SRP050992	SRS784895	SRX802735	SRR1700211	33789	31916	13336	13132	219502	214992
48471	DRP002435	DRS016933	DRX019715	DRR028441	0	0	0	0	0	0
48472	SRP067502	SRS1212807	SRX1491328	SRR3032245	26460	25338	5543	5505	104139	102308
48473	SRP061881	SRS1019105	SRX1127384	SRR2138043	65267	61753	17857	17812	334078	329432
48474	SRP041736	SRS603450	SRX534732	SRR1275130	35273	33071	13663	13485	282458	277312
48475	SRP050992	SRS784737	SRX802577	SRR1700053	36384	34691	16583	16330	299219	294271
48476	SRP055918	SRS866587	SRX906185	SRR1850965	67765	64010	12394	12304	296812	289306
48477	SRP001540	SRS008974	SRX014681	SRR031961	62475	59703	13896	13828	294183	289477
48478	SRP066834	SRS1184228	SRX1457185	SRR2967739	7512	6893	5244	5074	188810	184596
48479	SRP066834	SRS1184442	SRX1456961	SRR2967515	10588	9800	7563	7294	243821	237297
48480	SRP001540	SRS008883	SRX014590	SRR031870	40597	38792	6526	6476	151203	148089
48481	SRP050892	SRS782043	SRX798774	SRR1696118	47368	44322	6922	6859	161000	155889
48482	SRP013402	SRS335311	SRX149683	SRR500988	4323	3697	775	753	30104	29092
48483	SRP055153	SRS850664	SRX883428	SRR1810700	21105	20403	5980	5910	107588	105832
48484	SRP057758	SRS924608	SRX1012777	SRR2001039	76967	73899	17114	17079	310752	306991
48485	SRP050223	SRS751955	SRX767309	SRR1662005	55199	52447	3413	3390	109365	106277
48486	SRP050992	SRS784978	SRX802818	SRR1700294	37759	35994	11884	11768	210188	206453
