SRP017305	1	4	0.25
SRP017575	1	53	0.0188679
SRP017875	1	19	0.0526316
SRP018008	1	94	0.0106383
SRP018254	1	10	0.1
SRP019272	1	362	0.00276243
SRP020237	1	20	0.05
SRP020491	1	55	0.0181818
SRP021191	1	10	0.1
SRP022025	1	4	0.25
SRP026359	1	20	0.05
SRP026387	1	14	0.0714286
SRP027358	1	136	0.00735294
SRP027538	1	1	1
SRP028155	1	73	0.0136986
SRP028190	1	12	0.0833333
SRP028291	1	78	0.0128205
SRP028301	1	63	0.015873
SRP028705	1	10	0.1
SRP028814	1	5	0.2
SRP029262	1	89	0.011236
SRP029367	1	16	0.0625
SRP029656	1	18	0.0555556
SRP029889	1	25	0.04
SRP030401	1	27	0.037037
SRP031620	1	15	0.0666667
SRP032476	1	14	0.0714286
SRP032743	1	27	0.037037
SRP032775	1	232	0.00431034
SRP032789	1	20	0.05
SRP032833	1	18	0.0555556
SRP032999	1	6	0.166667
SRP033098	1	10	0.1
SRP033135	1	384	0.00260417
SRP033335	1	6	0.166667
SRP033569	1	24	0.0416667
SRP033696	1	6	0.166667
SRP033725	1	62	0.016129
SRP034626	1	14	0.0714286
SRP034737	1	4	0.25
SRP034875	1	33	0.030303
SRP035930	1	6	0.166667
SRP035934	1	7	0.142857
SRP035988	1	179	0.00558659
SRP036595	1	1	1
SRP039077	1	61	0.0163934
SRP039694	1	16	0.0625
SRP040472	1	286	0.0034965
SRP040547	1	201	0.00497512
SRP040586	1	30	0.0333333
SRP041179	1	44	0.0227273
SRP041263	1	2	0.5
SRP041846	1	6	0.166667
SRP042161	1	875	0.00114286
SRP042286	1	55	0.0181818
SRP042620	1	168	0.00595238
SRP043085	1	21	0.047619
SRP043364	1	52	0.0192308
SRP043593	1	10	0.1
SRP044174	1	12	0.0833333
SRP044391	1	10	0.1
SRP044668	1	94	0.0106383
SRP044708	1	22	0.0454545
SRP044854	1	24	0.0416667
SRP045570	1	12	0.0833333
SRP045655	1	1	1
SRP045663	1	18	0.0555556
SRP045859	1	9	0.111111
SRP045999	1	64	0.015625
SRP046293	1	3	0.333333
SRP047192	1	60	0.0166667
SRP047299	1	14	0.0714286
SRP047366	1	2	0.5
SRP047407	1	15	0.0666667
SRP048536	1	4	0.25
SRP049553	1	12	0.0833333
SRP049714	1	7	0.142857
SRP049967	1	4	0.25
SRP050499	1	328	0.00304878
SRP050892	1	303	0.00330033
SRP050992	1	460	0.00217391
SRP051083	1	160	0.00625
SRP051368	1	48	0.0208333
SRP051644	1	25	0.04
SRP051848	1	188	0.00531915
