ERP006077	ERS480287	ERX497752	ERR532549	369
ERP006077	ERS480291	ERX497804	ERR532601	369
ERP006077	ERS480292	ERX497805	ERR532602	368
ERP006077	ERS480314	ERX497650	ERR532447	366
SRP001371	SRS183520	SRX213997	SRR643742	364
ERP006077	ERS480299	ERX497760	ERR532557	364
ERP006077	ERS480291	ERX497802	ERR532599	363
ERP006077	ERS480309	ERX497791	ERR532588	362
SRP059950	SRS973957	SRX1075707	SRR2081129	361
SRP050493	SRS778038	SRX794532	SRR1691649	360
ERP006077	ERS480289	ERX497798	ERR532595	358
SRP028594	SRS468093	SRX332655	SRR949111	358
SRP013021	SRS332922	SRX147678	SRR496596	357
ERP006077	ERS480309	ERX497790	ERR532587	357
ERP006077	ERS480289	ERX497796	ERR532593	355
SRP052896	SRS950095	SRX1044731	SRR2046446	354
ERP006077	ERS480289	ERX497797	ERR532594	354
SRP059950	SRS973946	SRX1075715	SRR2081137	354
SRP001371	SRS183514	SRX214324	SRR644514	353
SRP028554	SRS467619	SRX332162	SRR948494	352
SRP000941	SRS309366	SRX142114	SRR486242	351
SRP001371	SRS183511	SRX214323	SRR644513	350
ERP001971	ERS194242	ERX172614	ERR197925	349
SRP026600	SRS455412	SRX318466	SRR926696	348
SRP059950	SRS973947	SRX1075713	SRR2081135	348
ERP006077	ERS480312	ERX497642	ERR532439	347
SRP015761	SRS363197	SRX187117	SRR570309	346
SRP056295	SRS876179	SRX958980	SRR1918564	345
ERP003613	ERS327016	ERX288608	ERR315415	345
ERP010791	ERS759409	ERX1002461	ERR922714	345
ERP006077	ERS480298	ERX497759	ERR532556	345
ERP006077	ERS480312	ERX497644	ERR532441	344
SRP026600	SRS455410	SRX318458	SRR926688	344
ERP006077	ERS480298	ERX497758	ERR532555	344
SRP001371	SRS183516	SRX213996	SRR643741	343
SRP059950	SRS973952	SRX1075710	SRR2081132	343
SRP064671	SRS1110089	SRX1322884	SRR2603340	343
SRP028554	SRS467616	SRX332159	SRR948491	342
SRP064671	SRS1110092	SRX1322882	SRR2603338	342
ERP006077	ERS480312	ERX497643	ERR532440	342
SRP026600	SRS455413	SRX318470	SRR926700	341
ERP010791	ERS759408	ERX1002460	ERR922713	340
SRP059950	SRS973955	SRX1075709	SRR2081131	340
SRP001371	SRS183512	SRX343511	SRR980472	340
SRP028554	SRS467620	SRX332163	SRR948495	339
SRP056295	SRS876179	SRX958980	SRR1918563	339
SRP056295	SRS876273	SRX958884	SRR1918372	338
SRP063867	SRS1074349	SRX1261738	SRR2453310	338
SRP000941	SRS309360	SRX142108	SRR486238	338
ERP003613	ERS326963	ERX288512	ERR315352	338
ERP006077	ERS480316	ERX497641	ERR532438	337
SRP000941	SRS309365	SRX142113	SRR486241	337
SRP000941	SRS309364	SRX142112	SRR488137	337
SRP000941	SRS309363	SRX142111	SRR488136	337
SRP001371	SRS114976	SRX343518	SRR980484	336
SRP056295	SRS876293	SRX958864	SRR1918332	336
SRP056295	SRS876273	SRX958884	SRR1918371	336
ERP003613	ERS327017	ERX288610	ERR315456	336
SRP000941	SRS382215	SRX218940	SRR651662	334
SRP017464	SRS378917	SRX209052	SRR629592	334
SRP049967	SRS745863	SRX761328	SRR1654792	333
SRP056295	SRS876248	SRX958909	SRR1918422	333
SRP028554	SRS467618	SRX332161	SRR948493	333
ERP006077	ERS480316	ERX497639	ERR532436	333
ERP002045	ERS197535	ERX182675	ERR266343	332
SRP056295	SRS876108	SRX959047	SRR1918698	332
SRP058948	SRS950457	SRX1045272	SRR2048469	332
SRP013450	SRS336166	SRX150778	SRR502795	331
ERP006077	ERS480316	ERX497640	ERR532437	331
ERP011282	ERS804441	ERX1052324	ERR975347	330
SRP056295	SRS876293	SRX958864	SRR1918331	330
SRP058948	SRS950456	SRX1045273	SRR2048468	330
SRP056295	SRS876212	SRX958944	SRR1918492	330
SRP000941	SRS309359	SRX142107	SRR486237	330
SRP049593	SRS738556	SRX753105	SRR1643242	330
SRP056295	SRS876080	SRX959076	SRR1918754	330
SRP001371	SRS183503	SRX343510	SRR980471	330
SRP022028	SRS417728	SRX273285	SRR836532	330
SRP056295	SRS876248	SRX958909	SRR1918421	329
SRP050493	SRS778026	SRX794521	SRR1691638	328
SRP056295	SRS876136	SRX959020	SRR1918644	328
SRP056295	SRS876080	SRX959076	SRR1918755	328
SRP056295	SRS876136	SRX959020	SRR1918643	328
SRP058948	SRS950458	SRX1045271	SRR2048463	328
SRP056330	SRS877020	SRX959883	SRR1919603	328
SRP048759	SRS718923	SRX729596	SRR1608680	328
SRP056330	SRS877022	SRX959880	SRR1919600	328
SRP049410	SRS734467	SRX748272	SRR1636108	327
SRP059950	SRS973935	SRX1075718	SRR2081140	327
SRP049967	SRS745865	SRX761327	SRR1654791	326
SRP057660	SRS922312	SRX1009311	SRR1996500	326
ERP003613	ERS326984	ERX288544	ERR315391	326
SRP007461	SRS353551	SRX174326	SRR534325	326
SRP048993	SRS779810	SRX796417	SRR1693614	326
SRP017464	SRS378910	SRX209045	SRR629584	326
