min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1362	114054	0	0	0	0	0	0
1361	114168	0	0	0	0	0	0
1360	114270	0	0	0	0	0	0
1359	114388	0	0	0	0	0	0
1358	114484	0	0	0	0	0	0
1357	114574	0	0	0	0	0	0
1356	114691	0	0	0	0	0	0
1355	114799	0	0	0	0	0	0
1354	114905	0	0	0	0	0	0
1353	115006	0	0	0	0	0	0
1352	115122	0	0	0	0	0	0
1351	115213	0	0	0	0	0	0
1350	115329	0	0	0	0	0	0
1349	115441	0	0	0	0	0	0
1348	115559	0	0	0	0	0	0
1347	115672	0	0	0	0	0	0
1346	115774	0	0	0	0	0	0
1345	115871	0	0	0	0	0	0
1344	115981	0	0	0	0	0	0
1343	116092	0	0	0	0	0	0
1342	116208	0	0	0	0	0	0
1341	116316	0	0	0	0	0	0
1340	116437	0	0	0	0	0	0
1339	116532	0	0	0	0	0	0
1338	116631	0	0	0	0	0	0
1337	116753	0	0	0	0	0	0
1336	116853	0	0	0	0	0	0
1335	116964	0	0	0	0	0	0
1334	117060	0	0	0	0	0	0
1333	117170	0	0	0	0	0	0
1332	117285	0	0	0	0	0	0
1331	117396	0	0	0	0	0	0
1330	117497	0	0	0	0	0	0
1329	117601	0	0	0	0	0	0
1328	117715	0	0	0	0	0	0
1327	117817	0	0	0	0	0	0
1326	117918	0	0	0	0	0	0
1325	118040	0	0	0	0	0	0
1324	118137	0	0	0	0	0	0
1323	118241	0	0	0	0	0	0
1322	118358	0	0	0	0	0	0
1321	118466	0	0	0	0	0	0
1320	118586	0	0	0	0	0	0
1319	118687	0	0	0	0	0	0
1318	118780	0	0	0	0	0	0
1317	118875	0	0	0	0	0	0
1316	118957	0	0	0	0	0	0
1315	119059	0	0	0	0	0	0
1314	119178	0	0	0	0	0	0
1313	119301	0	0	0	0	0	0
1312	119396	0	0	0	0	0	0
1311	119494	0	0	0	0	0	0
1310	119596	0	0	0	0	0	0
1309	119693	0	0	0	0	0	0
1308	119786	0	0	0	0	0	0
1307	119888	0	0	0	0	0	0
1306	120005	0	0	0	0	0	0
1305	120095	0	0	0	0	0	0
1304	120212	0	0	0	0	0	0
1303	120328	0	0	0	0	0	0
1302	120426	0	0	0	0	0	0
1301	120535	0	0	0	0	0	0
1300	120645	0	0	0	0	0	0
1299	120773	0	0	0	0	0	0
1298	120883	0	0	0	0	0	0
1297	120983	0	0	0	0	0	0
1296	121100	0	0	0	0	0	0
1295	121205	0	0	0	0	0	0
1294	121309	0	0	0	0	0	0
1293	121446	0	0	0	0	0	0
1292	121565	0	0	0	0	0	0
1291	121671	0	0	0	0	0	0
1290	121768	0	0	0	0	0	0
1289	121890	0	0	0	0	0	0
1288	122003	0	0	0	0	0	0
1287	122106	0	0	0	0	0	0
1286	122214	0	0	0	0	0	0
1285	122340	0	0	0	0	0	0
1284	122466	0	0	0	0	0	0
1283	122577	0	0	0	0	0	0
1282	122695	0	0	0	0	0	0
1281	122819	0	0	0	0	0	0
1280	122935	0	0	0	0	0	0
1279	123072	0	0	0	0	0	0
1278	123209	0	0	0	0	0	0
1277	123336	0	0	0	0	0	0
1276	123454	0	0	0	0	0	0
1275	123585	0	0	0	0	0	0
1274	123715	0	0	0	0	0	0
1273	123845	0	0	0	0	0	0
1272	123986	0	0	0	0	0	0
1271	124097	0	0	0	0	0	0
1270	124248	0	0	0	0	0	0
1269	124383	0	0	0	0	0	0
1268	124500	0	0	0	0	0	0
1267	124618	0	0	0	0	0	0
1266	124742	0	0	0	0	0	0
1265	124846	0	0	0	0	0	0
1264	124964	0	0	0	0	0	0
1263	125061	0	0	0	0	0	0
1262	125187	0	0	0	0	0	0
1261	125304	0	0	0	0	0	0
1260	125415	0	0	0	0	0	0
1259	125533	0	0	0	0	0	0
1258	125625	0	0	0	0	0	0
1257	125722	0	0	0	0	0	0
1256	125840	0	0	0	0	0	0
1255	125941	0	0	0	0	0	0
1254	126043	0	0	0	0	0	0
1253	126142	0	0	0	0	0	0
1252	126249	0	0	0	0	0	0
1251	126355	0	0	0	0	0	0
1250	126450	0	0	0	0	0	0
1249	126552	0	0	0	0	0	0
1248	126657	0	0	0	0	0	0
1247	126762	0	0	0	0	0	0
1246	126847	0	0	0	0	0	0
1245	126946	0	0	0	0	0	0
1244	127025	0	0	0	0	0	0
1243	127116	0	0	0	0	0	0
1242	127194	0	0	0	0	0	0
1241	127289	0	0	0	0	0	0
1240	127395	0	0	0	0	0	0
1239	127484	0	0	0	0	0	0
1238	127595	0	0	0	0	0	0
1237	127686	0	0	0	0	0	0
1236	127769	0	0	0	0	0	0
1235	127852	0	0	0	0	0	0
1234	127958	0	0	0	0	0	0
1233	128051	0	0	0	0	0	0
1232	128137	0	0	0	0	0	0
1231	128250	0	0	0	0	0	0
1230	128347	0	0	0	0	0	0
1229	128459	0	0	0	0	0	0
1228	128569	0	0	0	0	0	0
1227	128650	0	0	0	0	0	0
1226	128740	0	0	0	0	0	0
1225	128813	0	0	0	0	0	0
1224	128911	0	0	0	0	0	0
1223	129021	0	0	0	0	0	0
1222	129107	0	0	0	0	0	0
1221	129221	0	0	0	0	0	0
1220	129320	0	0	0	0	0	0
1219	129406	0	0	0	0	0	0
1218	129503	0	0	0	0	0	0
1217	129594	0	0	0	0	0	0
1216	129678	0	0	0	0	0	0
1215	129796	0	0	0	0	0	0
1214	129887	0	0	0	0	0	0
1213	129985	0	0	0	0	0	0
1212	130077	0	0	0	0	0	0
1211	130181	0	0	0	0	0	0
1210	130280	0	0	0	0	0	0
1209	130377	0	0	0	0	0	0
1208	130491	0	0	0	0	0	0
1207	130587	0	0	0	0	0	0
1206	130701	0	0	0	0	0	0
1205	130795	0	0	0	0	0	0
1204	130892	0	0	0	0	0	0
1203	130971	0	0	0	0	0	0
1202	131054	0	0	0	0	0	0
1201	131141	0	0	0	0	0	0
1200	131221	0	0	0	0	0	0
1199	131289	0	0	0	0	0	0
1198	131364	0	0	0	0	0	0
1197	131451	0	0	0	0	0	0
1196	131533	0	0	0	0	0	0
1195	131620	0	0	0	0	0	0
1194	131697	0	0	0	0	0	0
1193	131789	0	0	0	0	0	0
1192	131878	0	0	0	0	0	0
1191	131967	0	0	0	0	0	0
1190	132065	0	0	0	0	0	0
1189	132145	0	0	0	0	0	0
1188	132217	0	0	0	0	0	0
1187	132310	0	0	0	0	0	0
1186	132394	0	0	0	0	0	0
1185	132481	0	0	0	0	0	0
1184	132577	0	0	0	0	0	0
1183	132654	0	0	0	0	0	0
1182	132754	0	0	0	0	0	0
1181	132843	0	0	0	0	0	0
1180	132937	0	0	0	0	0	0
1179	133003	0	0	0	0	0	0
1178	133080	0	0	0	0	0	0
1177	133154	0	0	0	0	0	0
1176	133234	0	0	0	0	0	0
1175	133325	0	0	0	0	0	0
1174	133421	0	0	0	0	0	0
1173	133508	0	0	0	0	0	0
1172	133575	0	0	0	0	0	0
1171	133651	0	0	0	0	0	0
1170	133750	0	0	0	0	0	0
1169	133828	0	0	0	0	0	0
1168	133907	0	0	0	0	0	0
1167	134006	0	0	0	0	0	0
1166	134094	0	0	0	0	0	0
1165	134196	0	0	0	0	0	0
1164	134288	0	0	0	0	0	0
1163	134364	0	0	0	0	0	0
1162	134456	0	0	0	0	0	0
1161	134534	0	0	0	0	0	0
1160	134622	0	0	0	0	0	0
1159	134707	0	0	0	0	0	0
1158	134785	0	0	0	0	0	0
1157	134875	0	0	0	0	0	0
1156	134958	0	0	0	0	0	0
1155	135043	0	0	0	0	0	0
1154	135131	0	0	0	0	0	0
1153	135219	0	0	0	0	0	0
1152	135301	0	0	0	0	0	0
1151	135381	0	0	0	0	0	0
1150	135462	0	0	0	0	0	0
1149	135541	0	0	0	0	0	0
1148	135628	0	0	0	0	0	0
1147	135708	0	0	0	0	0	0
1146	135794	0	0	0	0	0	0
1145	135875	0	0	0	0	0	0
1144	135945	0	0	0	0	0	0
1143	136028	0	0	0	0	0	0
1142	136108	0	0	0	0	0	0
1141	136179	0	0	0	0	0	0
1140	136266	0	0	0	0	0	0
1139	136343	0	0	0	0	0	0
1138	136420	0	0	0	0	0	0
1137	136490	0	0	0	0	0	0
1136	136570	0	0	0	0	0	0
1135	136653	0	0	0	0	0	0
1134	136752	0	0	0	0	0	0
1133	136836	0	0	0	0	0	0
1132	136925	0	0	0	0	0	0
1131	137026	0	0	0	0	0	0
1130	137102	0	0	0	0	0	0
1129	137175	0	0	0	0	0	0
1128	137262	0	0	0	0	0	0
1127	137340	0	0	0	0	0	0
1126	137417	0	0	0	0	0	0
1125	137508	0	0	0	0	0	0
1124	137589	0	0	0	0	0	0
1123	137670	0	0	0	0	0	0
1122	137756	0	0	0	0	0	0
1121	137831	0	0	0	0	0	0
1120	137911	0	0	0	0	0	0
1119	138021	0	0	0	0	0	0
1118	138110	0	0	0	0	0	0
1117	138175	0	0	0	0	0	0
1116	138260	0	0	0	0	0	0
1115	138328	0	0	0	0	0	0
1114	138415	0	0	0	0	0	0
1113	138511	0	0	0	0	0	0
1112	138588	0	0	0	0	0	0
1111	138672	0	0	0	0	0	0
1110	138751	0	0	0	0	0	0
1109	138832	0	0	0	0	0	0
1108	138896	0	0	0	0	0	0
1107	138974	0	0	0	0	0	0
1106	139059	0	0	0	0	0	0
1105	139118	0	0	0	0	0	0
1104	139194	0	0	0	0	0	0
1103	139265	0	0	0	0	0	0
1102	139342	0	0	0	0	0	0
1101	139414	0	0	0	0	0	0
1100	139498	0	0	0	0	0	0
1099	139566	0	0	0	0	0	0
1098	139638	0	0	0	0	0	0
1097	139711	0	0	0	0	0	0
1096	139786	0	0	0	0	0	0
1095	139864	0	0	0	0	0	0
1094	139936	0	0	0	0	0	0
1093	140016	0	0	0	0	0	0
1092	140093	0	0	0	0	0	0
1091	140188	0	0	0	0	0	0
1090	140293	0	0	0	0	0	0
1089	140373	0	0	0	0	0	0
1088	140436	0	0	0	0	0	0
1087	140513	0	0	0	0	0	0
1086	140570	0	0	0	0	0	0
1085	140651	0	0	0	0	0	0
1084	140725	0	0	0	0	0	0
1083	140794	0	0	0	0	0	0
1082	140862	0	0	0	0	0	0
1081	140943	0	0	0	0	0	0
1080	141031	0	0	0	0	0	0
1079	141095	0	0	0	0	0	0
1078	141180	0	0	0	0	0	0
1077	141264	0	0	0	0	0	0
1076	141345	0	0	0	0	0	0
1075	141410	0	0	0	0	0	0
1074	141490	0	0	0	0	0	0
1073	141566	0	0	0	0	0	0
1072	141645	0	0	0	0	0	0
1071	141722	0	0	0	0	0	0
1070	141790	0	0	0	0	0	0
1069	141876	0	0	0	0	0	0
1068	141957	0	0	0	0	0	0
1067	142033	0	0	0	0	0	0
1066	142101	0	0	0	0	0	0
1065	142177	0	0	0	0	0	0
1064	142259	0	0	0	0	0	0
1063	142340	0	0	0	0	0	0
1062	142426	0	0	0	0	0	0
1061	142485	0	0	0	0	0	0
1060	142555	0	0	0	0	0	0
1059	142625	0	0	0	0	0	0
1058	142713	0	0	0	0	0	0
1057	142777	0	0	0	0	0	0
1056	142847	0	0	0	0	0	0
1055	142914	0	0	0	0	0	0
1054	142997	0	0	0	0	0	0
1053	143077	0	0	0	0	0	0
1052	143137	0	0	0	0	0	0
1051	143208	0	0	0	0	0	0
1050	143277	0	0	0	0	0	0
1049	143344	0	0	0	0	0	0
1048	143421	0	0	0	0	0	0
1047	143497	0	0	0	0	0	0
1046	143580	0	0	0	0	0	0
1045	143653	0	0	0	0	0	0
1044	143727	0	0	0	0	0	0
1043	143795	0	0	0	0	0	0
1042	143860	0	0	0	0	0	0
1041	143953	0	0	0	0	0	0
1040	144037	0	0	0	0	0	0
1039	144117	0	0	0	0	0	0
1038	144195	0	0	0	0	0	0
1037	144258	0	0	0	0	0	0
1036	144349	0	0	0	0	0	0
1035	144424	0	0	0	0	0	0
1034	144495	0	0	0	0	0	0
1033	144557	0	0	0	0	0	0
1032	144628	0	0	0	0	0	0
1031	144694	0	0	0	0	0	0
1030	144784	0	0	0	0	0	0
1029	144866	0	0	0	0	0	0
1028	144939	0	0	0	0	0	0
1027	144997	0	0	0	0	0	0
1026	145069	0	0	0	0	0	0
1025	145137	0	0	0	0	0	0
1024	145217	0	0	0	0	0	0
1023	145297	0	0	0	0	0	0
1022	145385	0	0	0	0	0	0
1021	145464	0	0	0	0	0	0
1020	145530	0	0	0	0	0	0
1019	145596	0	0	0	0	0	0
1018	145657	0	0	0	0	0	0
1017	145739	0	0	0	0	0	0
1016	145820	0	0	0	0	0	0
1015	145880	0	0	0	0	0	0
1014	145953	0	0	0	0	0	0
1013	146032	0	0	0	0	0	0
1012	146125	0	0	0	0	0	0
1011	146198	0	0	0	0	0	0
1010	146262	0	0	0	0	0	0
1009	146336	0	0	0	0	0	0
1008	146407	0	0	0	0	0	0
1007	146486	0	0	0	0	0	0
1006	146548	0	0	0	0	0	0
1005	146626	0	0	0	0	0	0
1004	146694	0	0	0	0	0	0
1003	146760	0	0	0	0	0	0
1002	146840	0	0	0	0	0	0
1001	146902	0	0	0	0	0	0
1000	146975	0	0	0	0	0	0
999	147071	0	0	0	0	0	0
998	147148	0	0	0	0	0	0
997	147206	0	0	0	0	0	0
996	147287	0	0	0	0	0	0
995	147359	0	0	0	0	0	0
994	147439	0	0	0	0	0	0
993	147510	0	0	0	0	0	0
992	147575	0	0	0	0	0	0
991	147643	0	0	0	0	0	0
990	147712	0	0	0	0	0	0
989	147786	0	0	0	0	0	0
988	147846	0	0	0	0	0	0
987	147925	0	0	0	0	0	0
986	147993	0	0	0	0	0	0
985	148075	0	0	0	0	0	0
984	148144	0	0	0	0	0	0
983	148201	0	0	0	0	0	0
982	148278	0	0	0	0	0	0
981	148338	0	0	0	0	0	0
980	148402	0	0	0	0	0	0
