min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
1554	82850	82717	1	37	95	82007	81968	678	655	165	94
1553	83136	83001	1	39	95	82293	82252	678	655	165	94
1552	83417	83280	1	41	95	82572	82529	680	657	165	94
1551	83664	83526	1	41	96	82814	82771	682	659	168	96
1550	83940	83800	1	43	96	83084	83039	687	664	169	97
1549	84206	84065	1	43	97	83344	83299	692	669	170	97
1548	84456	84315	1	43	97	83591	83546	694	671	171	98
1547	84706	84564	1	43	98	83841	83795	694	671	171	98
1546	84935	84793	1	43	98	84068	84022	696	673	171	98
1545	85156	85014	1	43	98	84288	84242	697	674	171	98
1544	85404	85262	1	43	98	84534	84488	699	676	171	98
1543	85656	85513	1	43	99	84786	84739	699	676	171	98
1542	85918	85775	1	43	99	85047	85000	700	677	171	98
1541	86159	86015	1	44	99	85283	85235	703	680	173	100
1540	86427	86282	1	44	100	85548	85500	705	682	174	100
1539	86682	86535	2	44	101	85800	85751	707	684	175	100
1538	86935	86787	2	45	101	86047	85997	711	688	177	102
1537	87194	87045	2	46	101	86303	86252	714	691	177	102
1536	87454	87305	2	46	101	86560	86509	717	694	177	102
1535	87699	87547	2	48	102	86800	86747	722	698	177	102
1534	87937	87784	2	48	103	87035	86982	724	700	178	102
1533	88168	88015	2	48	103	87263	87210	726	702	179	103
1532	88398	88245	2	48	103	87490	87437	728	704	180	104
1531	88621	88467	2	49	103	87710	87656	731	707	180	104
1530	88853	88697	2	51	103	87939	87883	734	710	180	104
1529	89068	88911	2	52	103	88151	88094	737	713	180	104
1528	89286	89128	2	53	103	88365	88307	741	717	180	104
1527	89541	89380	2	54	105	88611	88553	746	721	184	106
1526	89788	89624	2	55	107	88854	88794	750	724	184	106
1525	90021	89856	2	56	107	89086	89025	751	725	184	106
1524	90261	90096	2	56	107	89325	89264	752	726	184	106
1523	90486	90319	2	58	107	89546	89483	756	730	184	106
